,Apple,IBM,Microsoft,Google,Amazon,Tesla,Nvidia,Walmart,Johnson & Johnson,Verizon,AT&T,Pfizer
2014-08-29,22.7129,117.702,38.695,29.0583,16.955,17.9833,0.4637,20.4344,77.491,29.1781,94.2507,18.2627
2014-09-02,22.8701,117.1634,38.3459,29.2628,17.09,18.9733,0.4661,20.502,77.3115,29.1664,95.8007,18.2316
2014-09-03,21.9266,117.3042,38.2863,29.333,16.975,18.7067,0.4705,20.5724,77.6107,29.2602,95.6028,18.2752
2014-09-04,21.7671,116.7411,38.5588,29.5141,17.305,19.1133,0.4788,20.7212,77.8051,29.1781,95.677,18.3001
2014-09-05,21.9244,116.937,39.3337,29.745,17.3275,18.442,0.4773,20.9459,78.037,29.2837,95.9573,18.4372
2014-09-08,21.8048,116.38,39.5721,29.9365,17.075,18.8,0.473,20.6779,77.9622,29.0373,95.6688,18.2939
2014-09-09,21.6431,116.4167,39.8531,29.4573,16.49,18.5933,0.4671,20.77,77.6331,28.744,94.8278,18.2129
2014-09-10,22.4117,117.4389,39.8957,29.528,16.57,18.7533,0.4687,20.7077,78.5382,28.5915,96.0398,18.3562
2014-09-11,22.4404,117.347,39.9809,29.4131,16.525,18.6767,0.464,20.5967,78.1791,28.7909,95.8513,18.4434
2014-09-12,22.5025,116.9308,39.6402,29.0966,16.555,18.59,0.457,20.5074,78.1642,28.392,96.5509,18.3375
2014-09-15,22.5357,117.5184,39.5466,28.9418,16.2015,17.0,0.4509,20.5155,78.3138,28.5328,96.5921,18.6303
2014-09-16,22.2455,117.9897,39.7254,29.2265,16.315,17.38,0.4577,20.7023,79.2113,28.6854,97.1445,18.6739
2014-09-17,22.5025,117.9408,39.6062,29.5693,16.19,17.434,0.4563,20.6536,79.4283,28.832,96.7488,18.8796
2014-09-18,22.5468,118.4365,39.8446,29.7111,16.2865,17.55,0.4628,20.6292,80.3034,29.1781,98.4636,19.0042
2014-09-19,22.4028,118.7426,40.3045,30.1042,16.55,17.2307,0.4561,20.7862,80.8195,29.5535,97.9112,18.9543
2014-09-22,22.3053,118.1978,40.0745,29.7196,16.1985,16.5333,0.4515,20.6536,80.7148,29.4186,98.1174,18.811
2014-09-23,22.7129,117.2124,39.6062,29.4165,16.1745,16.66,0.4496,20.4614,80.4081,29.2602,97.4908,18.7176
2014-09-24,22.4537,117.7082,40.0916,29.7803,16.4025,16.7967,0.4521,20.862,81.3108,29.3717,97.9854,18.8796
2014-09-25,21.7649,115.927,39.2741,29.3081,16.1,16.48,0.4424,20.6834,80.3333,29.1546,98.2189,18.6926
2014-09-26,22.3031,116.331,39.5381,29.2568,16.11,16.4367,0.4433,20.7456,80.1463,29.1546,98.8689,18.5182
2014-09-29,22.1348,115.7006,39.5466,29.2489,16.06,16.3133,0.4425,20.5589,79.6901,29.1253,97.9272,18.5369
2014-09-30,22.2544,115.9944,39.4273,29.2787,16.1,16.1933,0.4411,20.6455,79.705,29.3365,97.7023,18.4122
2014-10-01,21.9775,114.5621,39.1038,28.8418,15.8835,16.0573,0.436,20.6373,78.052,29.0784,97.2023,18.1942
2014-10-02,21.9798,114.4152,38.9164,28.8602,15.9205,16.724,0.4348,20.6455,77.678,28.9083,95.3941,18.1007
2014-10-03,22.0728,115.4802,39.2826,29.1712,16.1225,17.0667,0.4367,20.908,78.6354,29.1605,96.794,18.2066
2014-10-06,22.0218,115.6822,39.1463,29.2474,16.11,17.35,0.4331,20.9053,78.4634,29.3717,96.9172,18.1755
2014-10-07,21.8823,113.6317,38.7461,28.6239,15.849,17.3267,0.4291,20.9527,76.6308,29.1488,96.5107,17.9761
2014-10-08,22.3208,115.8964,39.768,29.0473,16.0655,17.352,0.4365,21.1462,78.4634,29.5592,96.8773,18.2939
2014-10-09,22.3142,113.6624,39.0016,28.3129,15.741,17.2373,0.4231,21.0839,76.369,29.0076,95.4274,18.0633
2014-10-10,22.3363,113.4175,37.4688,27.671,15.529,15.8133,0.3946,21.1462,76.2493,28.9424,94.9691,18.1007
2014-10-13,22.137,112.328,37.1963,26.8724,15.35,14.87,0.3997,20.9594,74.342,28.7408,93.9108,17.7518
2014-10-14,21.9886,112.934,37.6135,27.3023,15.45,15.2493,0.4105,21.1137,73.0031,28.7052,92.9942,17.7331
2014-10-15,21.477,111.2447,36.6938,26.6261,14.95,14.8993,0.4166,20.2503,73.3023,28.2011,91.711,17.4714
2014-10-16,21.3087,110.0327,36.3617,26.1683,15.125,15.1053,0.4149,19.9797,72.5319,28.2426,91.711,17.2969
2014-10-17,21.7339,111.4222,37.2133,26.0041,15.1505,15.1633,0.4159,20.0717,73.8334,28.5095,91.486,17.3779
2014-10-20,22.4294,103.5509,37.588,26.4718,15.3155,15.388,0.4209,20.3369,74.4991,28.9721,94.4191,17.4215
2014-10-21,22.6464,99.8907,38.2352,26.7743,15.78,15.6333,0.4379,20.5751,75.0974,28.8594,94.2108,17.6209
2014-10-22,22.8413,99.3031,37.852,27.0037,15.675,15.4567,0.4271,20.5859,75.9202,28.6162,93.7442,17.6957
2014-10-23,23.2533,99.2602,39.5295,27.5491,13.99,15.69,0.4405,20.6373,76.8178,28.6103,94.5025,18.1443
2014-10-24,23.3109,99.0644,39.1974,27.3386,14.357,15.7067,0.4415,20.6779,77.117,28.9958,95.4191,18.1319
2014-10-27,23.271,98.9358,39.0782,27.3615,14.4995,14.792,0.442,20.705,77.9697,29.2686,95.2774,18.2502
2014-10-28,23.5855,99.9335,39.4103,27.7606,14.7385,16.0307,0.4525,20.6455,78.3811,29.6185,95.8857,18.1568
2014-10-29,23.7317,99.9274,39.6913,27.7879,14.685,15.8607,0.4495,20.6834,78.9122,29.494,96.5023,18.3811
